id,created_at,description,name,price,status,type,updated_at,category_id,image_id
P0020,2024-06-22 22:18:48.075,Coffee blended with ice and real caramel; topped with whipped cream and caramel drizzle.,Caramel Caribou Frosty,50000,ACTIVE,BEVERAGE,2024-06-22 22:18:48.075,C04,171906952810423
P0021,2024-06-22 22:19:48.956,"Cookies blended with vanilla, chocolate, half & half and our signature shake mix. Topped with whipped cream and more cookies.",Frozen Cookies and Cream,45000,ACTIVE,BEVERAGE,2024-06-22 22:19:48.956,C04,171906958898363
P0022,2024-06-22 22:20:44.556,"Coffee blended with ice, chocolate and mint flavor. Topped with whipped cream and candy canes.",Ho Ho Mint Mocha,45000,ACTIVE,BEVERAGE,2024-06-22 22:20:44.556,C03,171906964457764
P0023,2024-06-22 22:21:38.066,Fresh mocha shaken with mint flavor and white chocolate sauce; topped with a splash of oatmilk.,Mocha Shaker,40000,ACTIVE,BEVERAGE,2024-06-22 22:21:38.066,C03,171906969808833
P0024,2024-06-22 22:22:21.240,"Nitro cold press combined with milk, chocolate & flavors of chipotle and ancho chiles. Topped with espresso whipped cream.",Spicy Mocha,40000,ACTIVE,BEVERAGE,2024-06-22 22:22:21.240,C03,171906974126872
P0025,2024-06-22 22:23:15.510,"White chocolate chips melted into steamed milk, combined with espresso & real pumpkin. Topped with whipped cream & chocolate chips.",Pumpkin White Mocha,35000,ACTIVE,BEVERAGE,2024-06-22 22:23:15.510,C03,171906979553121
P0026,2024-06-22 22:24:17.160,"Real chocolate melted into steamed milk, combined with espresso & caramel. Topped with whipped cream, caramel, and turtle pieces.",Turtle Mocha,40000,ACTIVE,BEVERAGE,2024-06-22 22:24:17.160,C03,171906985718184
P0027,2024-06-22 22:25:29.782,"Real chocolate melted into steamed milk, combined with espresso & toasted marshmallow flavor. Topped with whipped cream & more.",Campfire Mocha,55000,ACTIVE,BEVERAGE,2024-06-22 22:25:29.782,C03,171906992981037
P0028,2024-06-22 22:26:56.717,"Black tea and peach puree BOUsted with caffeine from coffee plus guarana and ginseng. Not recommended if sensitive to caffeine, under 18, or pregnant or nursing.",Peach Black Tea,40000,ACTIVE,BEVERAGE,2024-06-22 22:26:56.717,C06,171907001673856
P0029,2024-06-22 22:27:38.249,"Green tea and lemonade BOUsted with caffeine from coffee plus guarana and ginseng. Not recommended if sensitive to caffeine, under 18, or pregnant or nursing.",Green Tea Lemonade,40000,ACTIVE,BEVERAGE,2024-06-22 22:27:38.249,C06,171907005826965
P0030,2024-06-22 22:28:23.068,"Matcha tea powder blended with ice, vanilla, half & half and our signature shake mix; served over coconut coffee jellies.",Frozen Matcha Tea,45000,ACTIVE,BEVERAGE,2024-06-22 22:28:23.068,C06,171907010308688
P0032,2024-06-22 22:30:17.785,"A delicious, raised donut as Unicorm",Unicorn Of Love,20000,ACTIVE,CAKE,2024-06-22 22:30:17.785,C07,171907021781411
P0033,2024-06-22 22:30:40.723,"A delicious, raised donut topped with blue butter",Blue Donut,25000,ACTIVE,CAKE,2024-06-22 22:30:40.723,C07,171907024075257
P0034,2024-06-22 22:31:16.258,"A delicious, raised donut topped with classic glaze",Glaze Donut,35000,ACTIVE,CAKE,2024-06-22 22:31:16.258,C07,171907027628555
